代號,簡稱,日期,序號,主旨,Unnamed: 5
代號,簡稱,日期,序號,主旨,
2201,裕隆,112/05/09,1,公告本公司國內第三次無擔保轉換公司債代收價款行庫 及存儲專戶行庫,
4555,氣立,112/05/09,5,公告本公司國內第二次有擔保轉換公司債轉換普通股 之發行新股增資基準日,
6431,光麗-KY,112/05/08,5,公告本公司董事會決議不繼續辦理111年股東會通過之 私募有價證券(包含但不限私募普通股、私募乙種特別股及 私募可轉換公司債)案,
1538,正峰,112/05/08,4,本公司董事會決議辦理私募發行 國內有擔保可轉換公司債(更正主旨),
1532,勤美,112/05/05,2,公告本公司國內第四次無擔保轉換公司債轉換普通股之發行 新股增資基準日,
2034,允強,112/05/05,2,公告本公司國內第三次無擔保轉換公司債轉換發行新股之 增資基準日,
4916,事欣科,112/05/05,1,公告本公司國內第四次無擔保轉換公司債之委託代收價款及 存儲專戶行庫,
2236,百達-KY,112/05/04,9,公告本公司董事會決議發行國內第二次無擔保轉換公司債,
4763,材料-KY,112/05/04,1,本公司可轉換公司債材料三KY(代號:47633) 近期達公布注意交易資訊標準， 故公告相關訊息，以利投資人區別瞭解,
2888,新光金,112/05/04,1,公告本公司發行國內第六次無擔保轉換公司債完成訂價,
代號,簡稱,日期,序號,主旨,
8499,鼎炫-KY,112/05/04,4,"代子公司隆揚電子(昆山)股份有限公司公告董事會決議通過 無擔保可轉換公司債(終止原4/10發行計畫,重新通過)",
1513,中興電,112/05/03,1,公告中興電股份有限公司國內第二次無擔保轉換公司債轉換公司債(簡稱：中興電二，代碼：15132)發行公司行使債券贖回權暨訂於112年06月27日終止櫃檯買賣等相關事宜。,
2421,建準,112/04/28,1,公告本公司國內第三次無擔保轉換公司債 代收價款及存儲專戶行庫,
6165,浪凡,112/04/25,4,本公司董事會決議辦理私募國內有擔保可轉換公司債案,
6165,浪凡,112/04/25,3,111年度股東常會通過之私募普通股及國內有擔保可轉換公司債， 於剩餘期間內擬不予辦理,
2482,連宇,112/04/24,1,本公司可轉換公司債連宇二(代號:24822)近期達公布注意 交易資訊標準，故公告相關訊息以利投資人區別瞭解。,
6438,迅得,112/04/21,1,公告本公司國內第二次無擔保轉換公司債代收價款行庫及 存儲專戶行庫,
5434,崇越,112/04/19,2,本公司董事會決議發行國內第二次無擔保轉換公司債,
6282,康舒,112/04/17,3,公告本公司董事會決議發行國內第二次無擔保轉換公司債,
3715,定穎投控,112/04/17,3,代子公司定穎電子股份有限公司公告除息基準日 及國內第二次無擔保轉換公司債轉換價格調整,
代號,簡稱,日期,序號,主旨,
2731,雄獅,112/04/14,1,本公司可轉換公司債雄獅一(代號:27311) 近期達公布注 意交易資訊標準，故公告相關訊息以利投資人區別瞭解。,
2241,艾姆勒,112/04/13,11,本公司董事會決議以私募方式發行國內可轉換公司債,
3711,日月光投控,112/04/12,1,代子公司環誠科技有限公司公告處分環旭電子股份有限公司 無擔保可轉換公司債券,
4566,時碩工業,112/04/12,2,公告本公司國內第二次無擔保轉換公司債轉換價格調整,
4566,時碩工業,112/04/12,1,公告本公司國內第一次無擔保轉換公司債轉換價格調整,
3543,州巧,112/04/11,2,公告本公司董事會決議不繼續辦理111年股東會通過之 私募普通股或私募國內或海外轉換公司債案,
8499,鼎炫-KY,112/04/11,1,代子公司隆揚電子(昆山)股份有限公司 公告董事會決議發行無擔保可轉換公司債,
3036,文曄,112/04/10,2,金融監督管理委員會同意廢止本公司發行海外第一次無擔保 轉換公司債申報生效案,
3711,日月光投控,112/04/07,1,代子公司環誠科技有限公司公告處分環旭電子股份有限公司 無擔保可轉換公司債券,
4763,材料-KY,112/04/07,1,本公司可轉換公司債材料三KY(代號:47633) 近期達公布注意交易資訊標準， 故公告相關訊息，以利投資人區別瞭解,
代號,簡稱,日期,序號,主旨,
2539,櫻花建,112/04/06,1,公告轉換公司債受託銀行因合併變更,
4763,材料-KY,112/04/06,1,本公司可轉換公司債材料二KY(代號:47632) 近期達公布注意交易資訊標準， 故公告相關訊息，以利投資人區別瞭解,
8462,柏文,112/04/06,1,公告本公司發行國內第三次無擔保轉換公司債之委託代收 價款行庫及存儲專戶行庫,
2358,廷鑫,112/04/06,2,公告本公司發行國內第一次有擔保轉換公司債受託人異動 (更正事實發生日),
2358,廷鑫,112/03/31,4,公告本公司發行國內第一次有擔保轉換公司債受託人異動,
3036,文曄,112/03/31,1,本公司向金融監督管理委員會申請廢止發行海外第一次 無擔保轉換公司債申報生效案,
1342,八貫,112/03/31,1,公告本公司國內第一次有擔保轉換公司債112年第1季轉換普通 股之增資基準日,
5608,四維航,112/03/30,6,本公司董事會決議發行國內第六次有擔保轉換公司債,
4306,炎洲,112/03/30,1,公告轉換公司債受託銀行因合併變更,
2243,宏旭-KY,112/03/29,7,公告董事會決議擬擇一方式一次辦理私募普通股或私募 可轉換公司債案,
代號,簡稱,日期,序號,主旨,
2243,宏旭-KY,112/03/29,6,公告本公司不繼續辦理一一一年股東臨時會通過之 擇一方式一次辦理私募普通股或私募可轉換公司債案,
4720,德淵,112/03/29,2,公告本公司董事會決議召開112年股東常會相關 事宜及國內轉換公司債停止轉換期間(召開方式： 視訊輔助股東會),
3701,大眾控,112/03/29,5,董事會決議本公司發行國內第二次 無擔保轉換公司債,
2888,新光金,112/03/28,1,公告本公司董事會決議發行國內第六次無擔保轉換公司債,
9906,欣巴巴,112/03/28,6,展延本公司111年8月9日董事會決議通過之國內 第一次有擔保轉換公司債,
3138,耀登,112/03/27,1,公告本公司訂定配息基準日暨國內可轉換公司債停止 轉換期間-更正公司債停止轉換期間,
1101,台泥,112/03/24,4,本公司董事會決議辦理國內無擔保轉換公司債及/或海外無 擔保轉換公司債,
6670,復盛應用,112/03/24,4,公告本公司國內第一次無擔保轉換公司債 轉換普通股之發行新股增資基準日,
3617,碩天,112/03/23,3,本公司董事會決議擬擇一或搭配方式辦理現金增資私募 普通股或私募國內無擔保轉換公司債,
3494,誠研,112/03/23,7,本公司董事會決議擬辦理私募普通股、私募國內有擔保 可轉換公司債,
代號,簡稱,日期,序號,主旨,
8466,美吉吉-KY,112/03/23,1,本公司董事會決議發行國內第二次無擔保轉換公司債,
4566,時碩工業,112/03/23,5,本公司董事會決議國內第二次無擔保轉換公司債轉換普通股 之增資基準日,
4566,時碩工業,112/03/23,4,本公司董事會決議國內第一次無擔保轉換公司債轉換普通股 之增資基準日,
2911,麗嬰房,112/03/23,5,公告本公司董事會決議擬辦理私募國內無擔保可轉換公司債,
6189,豐藝,112/03/23,2,公告豐藝電子股份有限公司國內第三次無擔保轉換公司債 (簡稱：豐藝三，代碼：61893) 停止受理轉換等相關事項。,
6189,豐藝,112/03/23,1,公告豐藝股份有限公司國內第三次無擔保轉換公司債 (簡稱：豐藝三，代碼：61893)因於112年06月08日到期暨訂 於112年06月09日終止櫃檯買賣等相關事宜。,
8467,波力-KY,112/03/22,1,公告中華民國境內第一次有擔保轉換公司債受託銀行因合併變更,
4763,材料-KY,112/03/20,1,本公司可轉換公司債材料二KY(代號:47632) 近期達公布注意交易資訊標準， 故公告相關訊息，以利投資人區別瞭解,
6196,帆宣,112/03/17,3,公告董事會決議發行國內第五次無擔保可轉換公司債,
4555,氣立,112/03/16,4,本公司國內第二次有擔保轉換公司債到期還本暨終止上櫃事宜,
代號,簡稱,日期,序號,主旨,
6288,聯嘉,112/03/16,1,本公司國內第二次無擔保轉換公司債於112年5月19日發行 屆滿2年，債券持有人得行使賣回權相關事宜。,
1436,華友聯,112/03/16,4,公告本公司國內第一次及第二次有擔保轉換公司債 轉換普通股之發行新股增資基準日,
1436,華友聯,112/03/16,3,公告本公司董事會決議召開112年股東常會相關事宜 及國內轉換公司債停止轉換期間,
4555,氣立,112/03/15,5,公告本公司國內第二次有擔保轉換公司債轉換普通股 之發行新股增資基準日,
2727,王品,112/03/15,1,公告本公司國內第一次無擔保轉換公司債之委託代收價款 及存儲專戶行庫,
2327,國巨,112/03/14,9,代子公司奇力新電子股份有限公司公告國內第六次 無擔保轉換公司債停止受理轉換等相關事項,
6442,光聖,112/03/14,6,本公司董事會決議辦理私募普通股或私募國內可轉換公司債,
3138,耀登,112/03/14,3,公告本公司訂定配息基準日暨國內可轉換公司債停止 轉換期間,
4906,正文,112/03/13,7,公告本公司董事會決議發行國內第六次無擔保轉換公司債,
4958,臻鼎-KY,112/03/13,4,公告本公司海外第三次無擔保轉換公司債停止轉換期間,
代號,簡稱,日期,序號,主旨,
2618,長榮航,112/03/13,5,公告本公司第五次無擔保轉換公司債轉換普通股之 增資基準日,
1316,上曜,112/03/13,1,公告轉換公司債保證銀行因合併變更,
3059,華晶科,112/03/10,3,本公司董事會決議辦理私募國內或海外轉換公司債,
6239,力成,112/03/10,6,本公司董事會決議辦理海外或國內公司債(普通公司債 、轉換公司債),
6239,力成,112/03/10,5,本公司董事會決議辦理私募海外或國內公司債(普通公司債 、轉換公司債),
2034,允強,112/03/10,2,公告本公司董事會決議召開112年股東常會及國內第三次 無擔保轉換公司債停止轉換期間。,
2201,裕隆,112/03/09,10,公告本公司董事會決議發行無擔保轉換公司債,
4763,材料-KY,112/03/09,2,本公司可轉換公司債材料二KY(代號:47632) 近期達公布注意交易資訊標準， 故公告相關訊息，以利投資人區別瞭解,
8070,長華*,112/03/09,1,公告本公司國內第五次無擔保轉換公司債收足應募價款,
5388,中磊,112/03/09,5,董事會通過私募普通股或私募國內外轉換公司債案,
代號,簡稱,日期,序號,主旨,
6550,北極星藥業-KY,112/03/09,6,本公司擬規劃辦理長期資金募集案(海外或國內轉換公司債),
4916,事欣科,112/03/09,3,公告本公司董事會決議發行國內第四次無擔保轉換公司債,
2421,建準,112/03/09,3,本公司董事會決議通過發行國內第三次無擔保轉換公司債,
2630,亞航,112/03/08,1,公告本公司國內第二次無擔保轉換公司債轉換價格調整,
1762,中化生,112/03/07,6,本公司董事會決議辦理私募發行國內可轉換公司債（包括有擔保 或無擔保可轉換公司債）,
1701,中化,112/03/07,8,本公司董事會決議辦理私募發行國內可轉換公司債 (包括有擔保或無擔保可轉換公司債）,
2352,佳世達,112/03/06,6,本公司董事會決議辦理私募海外或國內轉換公司債,
2482,連宇,112/03/06,1,本公司可轉換公司債連宇二(代號:24822)近期達公布注意 交易資訊標準，故公告相關訊息以利投資人區別瞭解。,
4968,立積,112/03/06,1,公告立積電子股份有限公司國內第一次無擔保轉換公司債(例：第一次有擔保)轉(交)換公司債(簡稱：立積一，代碼：49681)停止受理轉交換等相關事項。,
2337,旺宏,112/03/03,3,董事會通過私募普通股或私募國內或海外轉換公司債案並提 請股東會決議,
代號,簡稱,日期,序號,主旨,
8070,長華*,112/03/03,1,公告本公司國內第五次無擔保轉換公司債完成訂價,
1342,八貫,112/03/02,1,公告本公司國內第一次有擔保轉換公司債轉換價格調整,
2441,超豐,112/02/24,8,本公司董事會決議辦理海外或國內公司債(普通公司債、 轉換公司債),
